featurekey,Astro,Endo,Micro/PVM,Oligo,OPC,VLMC,Chandelier,Lamp5,Lamp5 Lhx6,Pax6,Pvalb,Sncg,Sst,Sst Chodl,Vip,L2/3 IT,L4 IT,L5,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b
AQP4,5.107606,0.2148476,0.044811208,0.005426882,0.09878703,0.07232237,0.01856067,0.014801693,0.15901695,0.06984665,0.018233955,0.04093729,0.011840128,0.0,0.03898466,0.21956359,0.15252593,0.16003446,0.055187773,0.048872195,0.27289376,0.11580526,0.1342169
GJA1,5.344326,0.6688543,0.043539267,0.0069858246,0.038416993,0.9925766,0.018045377,0.0,0.0,0.022436457,0.020043897,0.0,0.006374945,0.26154384,0.013515574,0.00520188,0.01317772,0.013095639,0.012909718,0.0,0.025093358,0.022420334,0.044472337
FLT1,0.019722339,7.1137624,0.22579528,0.013444019,0.029085563,0.6660892,0.02732701,0.029052095,0.023330776,0.08835806,0.122537166,0.022704514,0.11250113,0.0,0.20663352,0.029769592,0.030348808,0.037698008,0.030503567,0.013224542,0.033805456,0.048771232,0.038202826
CLDN5,0.022229504,8.267983,0.0,0.00089837465,0.0,0.6443944,0.0,0.018883515,0.0,0.0,0.0010198154,0.0,0.0,0.0,0.0,0.001231209,0.0010105296,0.0019792395,0.0,0.005243548,0.0007294126,0.0,0.08187587
APBB1IP,0.025735537,0.0,5.7244754,0.01307174,0.050976004,0.043177124,0.06568683,0.086504675,0.10763299,0.024843287,0.15357524,0.024081586,0.015276183,0.0,0.022442197,0.020716691,0.037966404,0.0400571,0.09335378,0.027780965,0.032043487,0.022778979,0.046491936
CX3CR1,0.0049523613,0.0,2.1835086,0.0023293868,0.013982916,0.096780635,0.0,0.0062585566,0.0,0.0,0.0040430273,0.012298659,0.0,0.0,0.005599155,0.0023458132,0.0010638168,0.0031722328,0.008528984,0.0,0.0034141107,0.0,0.0049061957
MOBP,0.07192957,0.0,0.06594689,4.613994,0.02711209,0.08663874,0.016287867,0.11576877,0.09285281,0.024609534,0.08618966,0.028134255,0.06563436,0.814053,0.029163867,0.10366466,0.13477314,0.20394003,0.3156569,0.096970595,0.20018049,0.16509345,0.13432722
MOG,0.0329722,0.0,0.027564418,2.731761,0.16593459,0.037192483,0.017448131,0.050342113,0.048169695,0.119055346,0.028605139,0.030332632,0.009326296,0.59283495,0.018004516,0.0063695135,0.011783045,0.029650392,0.02530595,0.014350799,0.022056209,0.031243874,0.027127964
OLIG1,0.5293341,0.0,0.047077507,2.1497855,4.914653,0.037192483,0.068434164,0.040428456,0.018965775,0.05458745,0.07428856,0.0387516,0.03834465,0.26574764,0.058404177,0.0071108555,0.023481386,0.04143704,0.07017836,0.0399521,0.023356883,0.032080803,0.05273739
OLIG2,0.14179072,0.0,0.018126072,0.8936502,3.3237634,0.0,0.0,0.013170293,0.008147102,0.03291404,0.012305052,0.013832366,0.004210144,0.23589137,0.010510368,0.0047508106,0.011505284,0.01707302,0.038492426,0.024870787,0.018123534,0.04546505,0.013177811
COLEC12,1.9293652,0.36100915,0.32221735,0.13438804,0.08091217,3.8638525,0.0863112,0.033797987,0.061187636,0.08890861,0.05173022,0.11313069,0.011097679,0.71024394,0.07127837,0.071662016,0.06829648,0.060065452,0.041576065,0.02632471,0.079124674,0.11548236,0.036282487
EBF1,0.0366761,3.2307441,0.045582276,0.0048063905,0.048676975,3.8462653,0.0,0.022661299,0.036424235,0.048033077,0.024546744,0.030940222,0.010751101,0.0,0.014189845,0.010941658,0.012982543,0.021269303,0.01750605,0.013984662,0.025941178,0.01775897,0.046266284
GAD1,0.06349379,0.0,0.01678872,0.009059779,1.774795,0.049001183,2.4668174,3.4448862,3.2306912,3.74638,3.78235,2.5355651,3.0669947,2.3662925,3.104446,0.01388029,0.105518356,0.12119916,0.14347848,0.10447877,0.035902426,0.07592679,0.119450025
GAD2,0.016161436,0.12477835,0.006727301,0.0081549855,0.038076073,0.042747352,0.07942033,5.0832415,5.56571,3.2009568,3.9711978,2.9247904,2.6598155,2.5037234,1.6356436,0.015096194,0.065312184,0.1113181,0.057053693,0.066715784,0.02560977,0.034182932,0.12624863
SLC17A7,0.03896177,0.12710917,0.019088343,0.008284979,0.047392648,0.03332662,0.3079239,0.32149625,0.43646187,0.51377803,0.4265136,0.2767947,0.32964388,0.4974352,0.24196078,4.6948466,4.7176275,5.222878,3.852758,4.5427704,5.6491027,5.4489903,5.239626
SATB2,0.1542124,0.2529825,0.087147,0.061143,0.057952855,0.16176338,0.11931999,0.0951314,0.11112524,0.15725674,0.12036104,0.106813475,0.09381755,0.0,0.08832461,4.0799093,4.3576937,3.786176,3.9820552,2.60369,4.3421955,5.658921,4.638515
