"","L2/3 IT_ALZ","L2/3 IT_CON","L5_ALZ","L5_CON","L6 IT_ALZ","L6 IT_CON","L4 IT_ALZ","L4 IT_CON","L6 CT_ALZ","L6 CT_CON","L6b_ALZ","L6b_CON","L5/6 NP_ALZ","L5/6 NP_CON","L6 IT Car3_ALZ","L6 IT Car3_CON","Lamp5_ALZ","Lamp5_CON","Lamp5 Lhx6_ALZ","Lamp5 Lhx6_CON","Pvalb_ALZ","Pvalb_CON","Chandelier_ALZ","Chandelier_CON","Pax6_ALZ","Pax6_CON","Sncg_ALZ","Sncg_CON","Sst Chodl_ALZ","Sst Chodl_CON","Sst_ALZ","Sst_CON","Vip_ALZ","Vip_CON"
"CA10",2.46078615441941,3.09646500786331,0.673377391007871,0.955861798779455,2.58368146435273,2.8013961624462,0.871167806379949,1.07547376100773,0.462883996758557,0.626069307327271,0.267008798668184,0.392977915068929,1.30437968468124,1.30031735707173,3.46068368440757,3.78877528248546,0.236990947331955,0.301383683201281,0.16278189454375,0.197025796167212,0.0661187091625149,0.148569856064191,0,0.076067359702101,0.157751551157312,0.454259525897891,0.309666700599607,0.619728547276802,0.586319446563721,0,0.1026580090756,0.0939185375303734,0.267842695102487,0.349119614893684
"LAMA2",1.30692079213459,1.95456914255552,0.394775257466681,0.528706579428868,0.597019931441727,0.773364574579991,0.573768915670492,0.871841737146031,0.0809043717589283,0.122973159766097,0.166053891900074,0.398475486640782,0.151222676038742,0.135777140085676,0.241127964177746,0.308382346808353,0.0341951019728362,0.055836808976352,0.0429720528381692,0.102181399569792,0.0590109762980635,0.158088384605036,0.0783506533142867,0.0867564307833181,0.0769821752475787,0.283272693323535,0.260224228062906,0.363377565319098,0.276782214641571,0,0.0378427686898605,0.127441591165197,0.162077181063005,0.315758252267821
"FSTL4",2.23622799871968,2.47342934093186,3.0029336180887,3.18990137445395,2.45946526818735,2.73933095815187,2.78194629026252,2.99893480965538,1.0742382569436,1.19808970834421,2.21313392002899,2.24368288304455,0.308098604733294,0.416313844444477,1.0109618935117,1.29488891474554,0.0716281168496431,0.111839221981305,0.0716227461389229,0.115090472246307,0.657681086919569,1.05146430115179,0.910843738325083,1.36651571746011,0.691132518309581,1.12344070368035,0.323676704375212,0.184542716706841,1.29915592074394,1.11140294075012,0.222393188787543,0.233580348998543,0.369267313482699,0.52086735040311
"EPHA3",0.666014793182731,0.896960676036705,1.8972705247962,2.12890982949091,0.356291474171642,0.453822070346909,0.931522357078914,1.07110811761766,0.175211339762013,0.216189509655142,1.6617934402213,1.89468010405237,0.177422579716552,0.0909420557781658,0.281178845218354,0.285459843194373,1.32391470581738,1.73872085847619,1.18314683504697,1.01522171964832,0.344308130351437,0.499119086963374,0.355041957964563,0.716789578928531,0.734492489054233,0.652867361556652,0.180976294288951,0.393875422986966,0,0,0.0497823477439258,0.0680886056479507,0.367959065237667,0.473915344920894
"SLIT3",1.58199340944516,1.90338327476633,1.85626869068946,1.81241526527557,2.3244198395365,2.32915287851491,0.592794603739233,0.631708998228982,2.25327975838779,2.03979940743626,3.03009358407503,2.91187558894934,1.29767659441991,1.16137284515178,0.593528652118028,0.694459296275522,0.287748233595891,0.421093712425906,0.199140564870026,0.222447749056847,0.181682133786358,0.217341724281473,0,0.0619281819723185,1.46912399424782,1.73598311945449,0.497301039124323,0.64064133572347,1.01389691233635,0,0.0738200603619866,0.0816669304539838,0.0869786920426767,0.230284196458615
"PTPRK",3.19771244554794,3.70451110980221,3.10940268987396,3.18148616164506,4.29011115522334,4.18861624259991,3.49754719485742,3.5163346744082,0.43812224926443,0.269719132319654,0.380332274609301,0.437719095122907,0.339720165187662,0.297180863608301,3.53925788475692,3.73646581674291,0.179363251622043,0.278398849096399,0.228234886449609,0.23419260744955,0.286991830939219,0.405781742876686,2.75320519155757,3.17437424706024,0.293467093117629,0.277328419130902,0.659963650644318,1.00112674652951,0.857223033905029,0,0.583066189742607,0.646659791469574,0.191015630757333,0.247314673362613
"OTOGL",0.41032687633673,0.77489253615386,0.506597490859284,0.966009185818617,0.559316880006929,0.665352626207942,1.05588861664214,1.48659245566566,0.0796254531701861,0.0914748418281268,0.247411481587284,0.2891923276953,0.0228735330429944,0.0436508191370331,0.649384368051049,0.911864968660836,0.0155491330730381,0.0367120862428375,0.0159746293967727,0.0870992280299367,0.0104256627429768,0.0583572023620282,0,0.0264219589603757,0.0810174866567684,0.0784127379572669,0.0242055526449661,0.0287739831267051,0.299328625202179,0,0.0302524495383968,0.0485042746611467,0.0245772520082022,0.0183016772493333
"SCHLAP1",0.649526164695387,0.95752140879631,0.233437232436595,0.306462546467226,0.280888706642539,0.436283590135171,1.62817965911559,1.70908571955132,0.0179497205083896,0.0620734581887473,0.029616958046534,0.123243851717128,0,0,0.0929518729631155,0.169235716913348,0,0.0426653400326786,0.0165887889215502,0.0160999703251458,0.0126061076369283,0.0174341177763388,0.0253050038768987,0,0.0273623043977762,0,0.022497645094375,0,0,0,0.0262867604260859,0.0122647515432102,0.0186056229480866,0.0168222872801835
"ADAMTSL1",0.725397225802201,1.02195239735541,0.733670738270497,0.745307893730844,0.404736627754478,0.267479283772492,0.397653642465924,0.502605116800113,2.49496666510672,3.31895819268965,2.2205408183207,2.70436658277068,1.68234316327355,2.10214430357503,0.901633452418392,0.718989782244246,0.0604284218887785,0.0759542038920911,0.111151610390615,0.0299356887543124,0.13542136073322,0.164277482513153,0.0167536720348771,0.117512346471398,0.110303921035573,0.0418912366379139,0.166311368469364,0.365905208495057,0.661567687988281,0.425119352340698,0.317225646389567,0.562620735543919,0.219474615813927,0.223179283340428
"SEMA5A",0.11179992833383,0.18166299066811,0.156021055802323,0.232801679484621,0.393008127552672,0.547434022936364,0.394122192654358,0.498501805844742,1.46201291945056,1.77876970857756,0.143682292785989,0.206760239231494,0.385382249274037,0.330509206890005,0.320671043878684,0.448532759586227,0.211233483321631,0.327909882414046,0.071041158363644,0.113417055092606,0.148773823066559,0.256686780131634,0.0993019182970569,0.12242134566446,0.627400820768332,0.646534065867579,0.486650867895647,0.302989999646122,0,0,0.109916627083136,0.143673841408857,0.892494655282263,0.998489282366721
"ZFHX3",0.534976651411596,0.713109475346369,0.541818772120272,0.742571969945988,0.455166278931077,0.453029922228348,0.345438519219363,0.442027777203895,1.84456638142168,1.73470196514449,4.05376248330955,4.10331577663274,0.730240086940202,0.807303424430104,0.39404314829528,0.550430510088662,0.247996545549649,0.244765574856276,0.152814803823913,0.175006506489772,0.178736029204808,0.24596468249409,0.454798827505415,0.346157499887411,0.522203766846959,0.814452767372131,0.532373878088864,0.443736172995521,1.51292356848717,1.17773551940918,0.246914638449316,0.335852015910186,0.829516708096371,1.21549705078945
"NFIA",1.39236354627795,1.5470794855852,0.50786319553782,0.56417938295556,3.33622123220323,3.33053800656164,0.408668877910495,0.325275209214952,2.94889829288581,2.26751580298196,4.15725357453507,4.01655901587287,0.7197463309223,0.812982762809348,1.97546931753861,2.22490343145121,1.65763329303087,1.85076024844031,2.13764934149166,2.10013679974999,0.846085892201308,1.04114328019819,0.182454302052783,0.110716474866404,0.336630594881275,0.880718752395275,0.457817402260363,0.386708066301438,0,1.30953755378723,0.346061120862546,0.336430781000242,1.22034467276487,1.24956609512739
"HTR2C",0.0192178123861416,0.0293220275194845,0.0390603377369515,0.0410452417270866,0.0446726504216263,0.0483532319621148,0.0312742252639129,0.0456737692993466,0.074949389542413,0.0955993061783922,0.0566431765096733,0.0372904552969822,3.99604436890645,4.08247531198822,0.0788892789121054,0.188990507727471,0.034301959756595,0.0438895781554097,0.0256939897429472,0.0172120200263129,0.0634305516250244,0.0882129588283891,0.0679676502373568,0.0778605613893676,0.340201567999924,0.314418950746226,0.379848822089266,0.259482520297893,0.336947113275528,0,0.205004994959935,0.302092405285422,0.539318525338475,0.80848483857497
"NPSR1-AS1",0.0698504553471233,0.140956479464179,0.113735713663404,0.140034165449009,0.103012606993692,0.0853092160681574,0.0649729737913539,0.0827074473184852,0.0962525684717391,0.0831094177198211,0.173813193318356,0.252543645773747,3.65547318621115,3.71630764535043,0.183485957742469,0.239537494204869,0.0378105293458967,0.0671795417057752,0.0179127232503083,0.033701312308218,0.0203296189148941,0.0340844356116156,0.045858560853703,0.1089397935034,0.0699877678593503,0.10306892838589,0.00632058441146346,0.0323738010184279,0,0,0.0127699746061926,0,0.0318107110499871,0.0260688706948398
"NTNG2",0.196911952896951,0.235745907512224,0.421972180127817,0.450235884822533,0.412443319037852,0.493047250671217,0.199915403955837,0.224766585824251,0.0868803238800399,0.07736334990258,0.0727912420967975,0.109567006891088,0.0592063435099342,0.0589111526455499,2.64141976760209,2.99761792265366,0.0635620800416861,0.0914097169262782,0.0655239463525977,0.0278689183440863,0.0430753377703246,0.0636483686220608,0,0.0592415008730101,0.0842274472683291,0.0584488081377606,0.24485756543057,0.38006667488987,0,0,0.00344030364699986,0.00405701642900001,0.123317135808066,0.206987183676642
"THEMIS",0.0777786914475454,0.0781053275148445,0.743410136105266,0.654053924326411,2.29208585954563,2.38504989455166,0.113057248571381,0.144098360808638,0.147315673636844,0.105295184267116,0.0724210017416851,0.0805546151575192,0.0387857488610528,0.0894983553253444,2.35172033200235,2.55570088257299,0,0.0237824023823014,0.0242835330424336,0.0181479033301858,0.0112709418751024,0.0176799720822817,0,0.0297396970026701,0,0,0.00905893459792965,0.0126220740160896,0,0,0,0.00477614506023137,0.0148649468742304,0.00915548045259208
