Paper:,https://alzres.biomedcentral.com/articles/10.1186/s13195-017-0252-z
A2M,
AASDH,
ABCA1,
ABCA2,
ABCA7,
ABCC2,
ABCG1,
ABCG2,
ACAN,
ACE,
ADAM10,
ADAM12,
ADRA2B,
ADRB1,
ADRB2,
ADRB3,
AGER,
AHSG,
ALDH2,
ALOX5,
ANK2,
APBB1,
APBB2,
APBB3,
APH1A,
APH1B,
APOA1,
APOA4,
APOC1,
APOC2,
APOC4,
APOD,
APOE,
APP,
AR,
ARC,
ARMS2,
ARSB,
ARSJ,
ATF7,
ATP7B,
ATXN1,
BACE1,
BACE2,
BCHE,
BCR,
BDNF,
BIN1,
BLMH,
C4A,
C4B,
C9orf72,
CADPS2,
CALHM1,
CAMK2D,
CAND1,
CARD8,
CASR,
CASS4,
CAV1,
CBS,
CCL2,
CCL3,
CCNT1,
CCR2,
CD14,
CD2AP,
CD33,
CD36,
CD44,
CDH11,
CDK1,
CDK5,
CDK5R1,
CDKN2A,
CELF1,
CELF2,
CETP,
CFH,
CH25H,
CHAT,
CHRFAM7A,
CHRNA3,
CHRNA4,
CHRNA7,
CHRNB2,
CLOCK,
CLSTN2,
CLU,
CLUAP1,
COL11A1,
COL25A1,
COMT,
COX10,
COX15,
CR1,
CST3,
CTNNA3,
CTSD,
CTSS,
CXCL8,
CYP11B1,
CYP19A1,
CYP2D6,
CYP46A1,
DAOA,
DAPK1,
DBH,
DCHS2,
DDX18,
DDX39B,
DGKB,
DHCR24,
DLD,
DLST,
DNM2,
DNMBP,
DNMT3B,
DOPEY2,
DPH6,
DPYS,
DRD4,
DYRK1A,
EBF3,
ECE1,
EFNA5,
EIF2AK2,
EIF4EBP1,
EPC2,
EPHA1,
EPHA4,
ESR1,
ESR2,
EXOC2,
EXOC3L2,
F13A1,
FAS,
FCER1G,
FDPS,
FERMT2,
FGF1,
FRMD4A,
FRMD6,
FSHR,
FTO,
GAB2,
GALP,
GAPDH,
GAPDHS,
GBP2,
GNA11,
GNB3,
GOLM1,
GPX1,
GREM2,
GRIN2B,
GRIN3A,
GRN,
GSK3B,
GSTM1,
GSTM3,
GSTO1,
GSTO2,
GSTP1,
GSTT1,
HACD1,
HBG2,
HCRTR2,
HFE,
HHEX,
HLA-A,
HLA-DQB1,
HLA-DRA,
HLA-DRB1,
HLA-DRB5,
HMGCR,
HMGCS2,
HMOX1,
HPCAL1,
HSD11B1,
HSPA5,
HSPG2,
HTR2A,
HTR6,
ICAM1,
IDE,
IGBP1P5,
IGF1,
IL10,
IL12A,
IL12B,
IL18,
IL1A,
IL1B,
IL1RN,
IL23R,
IL33,
IL4,
IL6,
IL6R,
INPP5D,
INS,
IREB2,
IRS1,
ISL1,
KANSL2,
KCNJ6,
KIAA1033,
KIF11,
KLC1,
KNDC1,
LCK,
LDLR,
LHCGR,
LIPA,
LIPC,
LMNA,
LOC642487,
LPL,
LRP1,
LRP2,
LRP6,
LRP8,
LRPAP1,
LRRK2,
LRRTM3,
LY6E,
MAGI2,
MALRD1,
MAOA,
MAPK8IP1,
MAPT,
MBL2,
MCM3AP,
MEF2A,
MEF2C,
MEFV,
MEIS2,
MEOX2,
MIR146A,
MME,
MMP1,
MMP3,
MPO,
MS4A4A,
MS4A4E,
MS4A6A,
MS4A6E,
MT-ATP6,
MT-ATP8,
MT-CO3,
MT-TG,
MT-ND3,
MT-TR,
MT-ND4L,
MT-ND4,
MT-TH,
MT-TS2,
MT-TL2,
MT-ND5,
MT-ND6,
MT-CYB,
MT-TT,
MT-RNR1,
MT-ND1,
MT-TQ,
MT-ND2,
MT-CO1,
MT-CO2,
MTHFD1L,
MTHFR,
MTR,
MTRR,
MX1,
MYH13,
MYH8,
MYLK,
MZF1,
NAT2,
NCAM2,
NCAPD2,
NCSTN,
NEDD9,
NGB,
NGF,
NGFR,
NINJ2,
NLRC3,
NLRP1,
NLRP3,
NME8,
NOS1,
NOS3,
NPC1,
NPC2,
NPHP1,
NQO1,
NR1H2,
NRXN3,
NTF3,
NTRK1,
NTRK2,
NUBPL,
NXPH1,
OGFRL1,
OGG1,
OLR1,
OTC,
PAICS,
PARP1,
PCDH11X,
PCED1B,
PCK1,
PEMT,
PGBD1,
PICALM,
PIK3R1,
PIN1,
PLA2G3,
PLA2G4A,
PLAU,
PLD3,
PLXNA4,
PNMT,
PON1,
PON2,
PON3,
POU2F1,
PPARA,
PPARG,
PPAT,
PPP1R37,
PPP1R3B,
PPP2R2B,
PRND,
PRNP,
PRUNE2,
PSEN1,
PSEN2,
PSENEN,
PTGS2,
PTK2B,
PVRL2,
RAB7A,
RBFOX1,
RCAN1,
RD3,
RELN,
RPH3AL,
RPL7P59,
RPS6KB2,
RUNX1,
RXRA,
S100B,
SAMSN1,
SDC2,
SEL1L,
3-Sep,
SERPINA1,
SERPINA3,
SETX,
SGPL1,
SH3PXD2A,
SIGMAR1,
SIRT2,
SLC19A1,
SLC24A4,
SLC2A14,
SLC2A9,
SLC6A3,
SLC6A4,
SNCA,
SNTG1,
SNX1,
SNX3,
SOAT1,
SOD1,
SOD2,
SORCS1,
SORCS2,
SORCS3,
SORL1,
SOS2,
SP1,
SREBF1,
SST,
STAR,
STH,
TAP2,
TAPBPL,
TARDBP,
TBX3,
TF,
TFAM,
TFCP2,
TGFB1,
THEM5,
TLR2,
TLR4,
TLR9,
TMPRSS15,
TNF,
TNK1,
TOMM40,
TP53,
TP63,
TP73,
TRAF2,
TRAK2,
TREM2,
TREML2,
TRIP4,
TRPC4AP,
TTBK1,
TTR,
UBD,
UBE2D1,
UBE2I,
UBQLN1,
UCHL1,
UNC5C,
VDR,
VEGFA,
VLDLR,
VSNL1,
WWC1,
XBP1,
YWHAQ,
ZCWPW1,
ZNF628,
