"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.4-5",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.3.2"
"annotate","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.80.0",NA,"R (>= 2.10), AnnotationDbi (>= 1.27.5), XML","Biobase, DBI, xtable, graphics, utils, stats, methods,
BiocGenerics (>= 0.13.8), httr",NA,"hgu95av2.db, genefilter, Biostrings (>= 2.25.10), IRanges,
rae230a.db, rae230aprobe, tkWidgets, GO.db, org.Hs.eg.db,
org.Mm.eg.db, humanCHRLOC, Rgraphviz, RUnit,",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"AnnotationDbi","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.64.1",NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.2"
"ArchR","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.0.3",NA,"","BiocGenerics, Biostrings, chromVAR, chromVARmotifs,
ComplexHeatmap, data.table, devtools, GenomicRanges, ggplot2,
ggrepel, gridExtra, gtable, gtools, harmony, magrittr, Matrix,
matrixStats, motifmatchr, nabor, plyr, presto, Rcpp (>=
0.12.16), RcppArmadillo, rhdf5, Rsamtools, S4Vectors (>=
0.9.25), Seurat, SeuratObject, sparseMatrixStats, stringr,
SummarizedExperiment, uwot","Rcpp, RcppArmadillo","Cairo, DESeq2, edgeR, GenomicFeatures, ggridges, ggseqlogo,
hexbin, leiden, limma, monocle3, pdftools, pheatmap,
rhandsontable, scran, shiny, shinythemes, slingshot, testthat",NA,"MIT",NA,NA,NA,NA,"yes","4.3.2"
"askpass","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.2.0",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"assertthat","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.2.1",NA,NA,"tools",NA,"testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.0"
"backports","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.4.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"base","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","4.3.2","base",NA,NA,NA,"methods",NA,"Part of R 4.3.2",NA,NA,NA,NA,NA,"4.3.2"
"base64enc","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","0.1-3",NA,"R (>= 2.9.0)",NA,NA,NA,"png","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"BBmisc","/home/dsikdar/.conda/envs/c2c_paper/lib/R/library","1.13",NA,NA,"checkmate (>= 1.8.0), data.table, methods, stats, utils",NA,"codetools, microbenchmark, testthat",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.2"
